Substance,Genotoxicity
"Deca-2,4-dien-1-ol",Negative
"Deca-2,4-dien-1-ol",Negative
Decabromobiphenyl ether,Positive
Decamethylcyclopentasiloxane,Negative
Decan-2-one,Negative
Decan-2-one,Negative
Decan-2-one,Negative
Decan-2-one,Negative
Decan-2-one,Negative
Decan-2-one,Not determined
Decan-2-one,Negative
Decan-3-one,Negative
Decan-3-one,Not determined
Decan-3-one,Not determined
Decan-3-one,Negative
"Decano-1,4-lactone",No data
"Decano-1,5-lactone",No data
Decarbamoylgonyautoxin-2,No data
Decarbamoylgonyautoxin-3,No data
Decarbamoylneosaxitoxin,Negative
Decarbamoylsaxitoxin,No data
Decoquinate,Negative
Decoquinate,Negative
Decoquinate,Negative
Decyl 3-methylbutyrate,Not determined
Decyl 3-methylbutyrate,Not determined
delta-3-Carene,Ambiguous
delta-3-Carene,Negative
delta-3-Carene,Not determined
delta-3-Carene,Negative
Delta9-Tetrahydrocannabinol,Ambiguous
Delta9-Tetrahydrocannabinol,Negative
delta-Cadinene,Not determined
delta-Damascone,Ambiguous
delta-Damascone,Ambiguous
delta-Damascone,Ambiguous
delta-Damascone,Not determined
delta-Elemene,Not determined
delta-Elemene,Not determined
delta-Elemene,Not determined
delta-Elemene,Not determined
Deltamethrin,No data
Deltamethrin,No data
Deltamethrin,No data
Deltamethrin,No data
Denathonium benzoate,Negative
Denathonium benzoate formulation (ARBINOL B),No data
Deoxynivalenol,Negative
Deoxynivalenol,Not determined
"Deoxynivalenol, 3-Acetyldeoxynivalenol, 15-Acetyldeoxynivalenol and Deoxynivalenol-3-O-glucoside group",Not applicable
Desamino asulam,No data
Desamino asulam,No data
Desethyl-hydroxy-terbuthylazine,Negative
Desethyl-hydroxy-terbuthylazine,Negative
Desethyl-terbuthylazine,Negative
Desethyl-terbuthylazine,Negative
Desmedipham,Negative
Desmethyl-metobromuron,Negative
d-Fenchone,Not determined
d-Fenchone,Not determined
d-Fenchone,Not determined
d-Fenchone,Not determined
D-gamma-Tocopherol,No data
D-gamma-Tocopherol,Negative
D-gamma-Tocotrienol,No data
D-Glucurono-gamma-lactone,Negative
D-Glyceric acid,No data
DHA and EPA-rich algal oil,Negative
Di-(1-propenyl)-sulfid (mixture),Not determined
Di-(1-propenyl)-sulfid (mixture),Not determined
Di-(1-propenyl)-sulfid (mixture),Not determined
Di-(1-propenyl)-sulfid (mixture),Not determined
Di-(1-propenyl)-sulfid (mixture),Not determined
Di(2-ethylhexyl)adipate,No data
Di(2-methylbutyl) malate,Negative
Di(2-methylbutyl) malate,Negative
Di(2-methylbutyl) malate,Not determined
Di(2-methylbutyl) malate,Not determined
Diacetyl,No data
Diacetyl,Not determined
Diallyl disulfide,No data
Diallyl heptasulfide,Not determined
Diallyl heptasulfide,Not determined
Diallyl heptasulfide,Not determined
Diallyl heptasulfide,Not determined
Diallyl heptasulfide,Not determined
Diallyl hexasulfide,Not determined
Diallyl hexasulfide,Not determined
Diallyl hexasulfide,Not determined
Diallyl hexasulfide,Not determined
Diallyl hexasulfide,Not determined
Diallyl polysulfides,Not determined
Diallyl polysulfides,Not determined
Diallyl polysulfides,Not determined
Diallyl polysulfides,Not determined
Diallyl sulfide,Not determined
Diallyl sulfide,No data
Diallyl sulfide,Not determined
Diallyl sulfide,Not determined
Diallyl trisulfide,Not determined
Diallyl trisulfide,Not determined
Diallyl trisulfide,Not determined
Diallyl trisulfide,No data
Diallyl trisulfide,Not determined
Diallyl trisulfide,Not determined
Diammonium sulfide,Not determined
Dianthramid B,Not determined
Diazinon,Negative
Diazinon formulation (Diazol 60EC),No data
"Dibenzo[a,e]pyrene",Positive
"Dibenzo[a,h]pyrene",Positive
"Dibenzo[a,i]pyrene",Positive
"Dibenzo[a,l]pyrene",Positive
Dibenzyl ether,Negative
Dibenzyl ether,Negative
Dibromoneopentyl glycol,Positive
Dibutyl disulfide,Not determined
Dibutyl disulfide,Not determined
Dibutyl disulfide,Not determined
Dibutyl disulfide,Not determined
Dibutyl disulfide,Not determined
Dibutyl disulfide,Not determined
Dibutyl malate,Negative
Dibutyl malate,Negative
Dibutyl malate,Not determined
Dibutyl malate,Not determined
Dibutyl succinate,Negative
Dibutyl succinate,Negative
Dibutyl succinate,Not determined
Dibutyl succinate,Not determined
Dibutyl sulfide,No data
Dibutyl trisulfide,Not determined
Dibutyl trisulfide,Not determined
Dibutyl trisulfide,Not determined
Dibutyl trisulfide,Not determined
Dibutyl trisulfide,Not determined
Dibutyl trisulfide,Not determined
Di-Butylphthalate,Negative
Dibutyltin,Positive
di-calcium malate,No data
Dicamba,Negative
Dicamba formulation (Banvel 480 SL),No data
Dicamba metabolite (5-OH dicamba),Negative
Dichlobenil,Negative
Dichlobenil formulation (Casoron G2),No data
Dichlorprop-P,Negative
Dichlorprop-P,No data
Dichlorprop-P,Negative
Dichlorprop-P-2-ethylhexyl,Negative
Dichlorvos,Ambiguous
Dichlorvos,Ambiguous
Diclazuril,Negative
Diclazuril,No data
Diclazuril,Negative
Diclazuril,Negative
Diclazuril,No data
Diclazuril,Negative
Diclazuril,Negative
Diclazuril,Negative
Diclazuril,Negative
Diclazuril,No data
Diclazuril,No data
Diclazuril,Not determined
Diclazuril,No data
Diclazuril,No data
Diclazuril,No data
Diclazuril impurity and/or metabolite (R070016),Ambiguous
Diclazuril impurity and/or metabolite (R070016),Negative
Diclazuril impurity and/or metabolite (R070016),Negative
Diclofop,No data
Diclofop,No data
Diclofop-methyl,Negative
Diclofop-methyl formulation,No data
Dicloran,Negative
Dicloran formulation (750 WG),No data
Dicloran formulation (Sclerosan 50 WP),No data
Dicofol,No data
Dicopper chloride trihydroxide,Ambiguous
Dicopper chloride trihydroxide,No data
Dicopper chloride trihydroxide,No data
Dicopper chloride trihydroxide,Negative
Dicopper chloride trihydroxide formulation (WP),No data
Dicyandiamide,No data
Dicyandiamide,No data
Dicyclohexyl disulfide,Not determined
Dicyclohexyl disulfide,No data
Dicyclohexyl disulfide,Not determined
Dicyclohexyl disulfide,Not determined
Dicyclohexyl disulfide,No data
Dicyclohexyl disulfide,No data
Dicyclohexyl disulfide,Not determined
Di-dodecyltin-dichloride,Negative
Dieldrin,Negative
Dieldrin,Negative
Diesters of stearyl tartrate (E 483),Not determined
Dietary sugars,No data
Diethofencarb,Negative
Diethofencarb formulation (Powmyl 25 WP),No data
Diethoxymethane,Not determined
Diethoxymethane,Negative
Diethoxymethane,Negative
Diethyl (2RS)-2-[(dimethoxyphosphoryl)sulfanyl]butanedioate,No data
Diethyl (2RS)-2-{[hydroxy(methoxy)phosphorothioyl]sulfanyl}butanedioate,Negative
Diethyl adipate,Negative
Diethyl adipate,Negative
Diethyl adipate,Negative
Diethyl adipate,Negative
Diethyl citrate,Negative
Diethyl citrate,Negative
Diethyl citrate,Not determined
Diethyl citrate,Not determined
Diethyl disulfide,Not determined
Diethyl disulfide,Not determined
Diethyl disulfide,Negative
Diethyl fumarate,Negative
Diethyl fumarate,Negative
Diethyl fumarate,Not determined
Diethyl fumarate,Not determined
Diethyl maleate,Negative
Diethyl maleate,Negative
Diethyl maleate,Not determined
Diethyl maleate,Not determined
Diethyl malonate,No data
Diethyl nonanedioate,Negative
Diethyl nonanedioate,Negative
Diethyl nonanedioate,Not determined
Diethyl nonanedioate,Not determined
Diethyl oxalate,Negative
Diethyl oxalate,Negative
Diethyl oxalate,Not determined
Diethyl oxalate,Not determined
Diethyl pentanedioate,Negative
Diethyl pentanedioate,Negative
Diethyl pentanedioate,Not determined
Diethyl pentanedioate,Not determined
Diethyl succinate,No data
Diethyl trisulfide,Not determined
Diethyl trisulfide,Not determined
"diethyl[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]phosphonate",Negative
Difenacoum,Negative
Difenoconazole,No data
Difenoconazole,Negative
Difenoconazole,No data
Difenoconazole formulation (DIVIDEND 030FS),No data
Difenoconazole formulation (SCORE 250EC),No data
Difenoconazole-alcohol,Negative
Difenoconazole-benzoic acid,Negative
Difenoconazole-ketone,Negative
Diflubenzuron,Negative
Diflubenzuron,Negative
Diflubenzuron formulation (Dimilin WG 80),No data
Diflufenican,Negative
Difluoroacetic acid,No data
Difurfuryl disulfide,Not determined
Difurfuryl disulfide,Not determined
Difurfuryl ether,Ambiguous
Difurfuryl ether,Ambiguous
Difurfuryl ether,Positive
Difurfuryl sulfide,Not determined
Difurfuryl sulfide,Negative
Digeranyl ether,Not determined
Digeranyl ether,Not determined
Digeranyl ether,Not determined
"Dihydro-2,4,6-triethyl-1,3,5(4H)-dithiazine",Not determined
"Dihydro-2,4,6-triethyl-1,3,5(4H)-dithiazine",Not determined
"Dihydro-2,4,6-triethyl-1,3,5(4H)-dithiazine",Not determined
"Dihydro-2,4,6-triethyl-1,3,5(4H)-dithiazine",Not determined
"Dihydro-2,4,6-triethyl-1,3,5(4H)-dithiazine",Not determined
"Dihydro-2,4,6-triethyl-1,3,5(4H)-dithiazine",Ambiguous
Dihydrocapsiate,Negative
Dihydrocarvyl acetate,Not determined
Dihydrogalangal acetate,Not determined
Dihydroxychloroquinoxalin,No data
Di-isodecylphthalate,Negative
Di-isononylphthalate,Negative
Di-isopentyl succinate,Negative
Di-isopentyl succinate,Negative
Di-isopentyl succinate,Not determined
Di-isopentyl succinate,Not determined
Di-isopentyl thiomalate,Not determined
Di-isopentyl thiomalate,Not determined
Di-isopentyl thiomalate,Negative
Diisopropyl trisulphide,Not determined
Diisopropyl trisulphide,Not determined
Diisopropyl trisulphide,Not determined
Diisopropyl trisulphide,Not determined
Diisopropyl trisulphide,Not determined
Dilauroyl peroxide,Negative
di-magnesium malate,No data
Dimenthyl glutarate,Not determined
Dimenthyl glutarate,Not determined
Dimenthyl glutarate,Not determined
Dimenthyl glutarate,Not determined
Dimenthyl glutarate,Negative
Dimenthyl glutarate,Negative
Dimercaptomethane,Not determined
Dimercaptomethane,Not determined
Dimercaptomethane,Negative
Dimethachlor,Negative
Dimethenamid,Negative
Dimethenamid EC form. 900 g/L,No data
Dimethenamid-ESA,Negative
Dimethenamid-OXA,Negative
Dimethenamid-P,No data
Dimethenamid-P,Negative
Dimethenamid-P formulation (BAS 656 12 H),No data
Dimethenamid-P metabolite (M656H026),Negative
Dimethenamid-P metabolite (M656PH003),Negative
Dimethenamid-P metabolite (M656PH011),Negative
Dimethenamid-P metabolite (M656PH030),Negative
Dimethenamid-P metabolite (M656PH031),Negative
Dimethenamid-P metabolite (M656PH032),Negative
Dimethenamid-P metabolite (M656PH040),Negative
Dimethenamid-P metabolite (M656PH045),Negative
Dimethenamid-P metabolite (M656PH047),Negative
Dimethenamid-P metabolite (M656PH054),Negative
Dimethenamid-P metabolite (M656PH062),Negative
Dimethenamid-P metabolite (M656PH081),Negative
Dimethipin,No data
Dimethoate,Negative
Dimethoate,Negative
Dimethoate,Ambiguous
Dimethomorph,Negative
Dimethomorph formulation (FORUM 150 DC CF 07460),No data
Dimethoxymethane,Negative
Dimethoxymethane,Negative
Dimethoxymethane,Negative
Dimethyl carbonate,Negative
Dimethyl dicarbonate,Negative
Dimethyl disulfide,No data
Dimethyl disulfide,Negative
Dimethyl ether,Negative
Dimethyl malonate,Negative
Dimethyl malonate,Negative
Dimethyl malonate,Not determined
Dimethyl malonate,Not determined
Dimethyl polysiloxane (E 900),Negative
Dimethyl sulfide,Not determined
Dimethyl sulfide,No data
Dimethyl sulfide,Not determined
Dimethyl sulfide,Not determined
Dimethyl sulfide,No data
Dimethyl sulfide,No data
Dimethyl sulfide,No data
Dimethyl sulfide,No data
Dimethyl tetrasulfide,Not determined
Dimethyl tetrasulfide,Not determined
Dimethyl tetrasulfide,Not determined
Dimethyl tetrasulfide,Not determined
Dimethyl tetrasulfide,Not determined
Dimethyl tetrasulfide,Not determined
Dimethyl trisulfide,Not determined
Dimethyl trisulfide,Not determined
Dimethyl trisulfide,No data
Dimethyl trisulfide,Not determined
Dimethyl trisulfide,Not determined
"Dimethyl-3,6-benzo-2(3H)-furanone",Negative
"Dimethyl-3,6-benzo-2(3H)-furanone",Negative
"Dimethyl-3,6-benzo-2(3H)-furanone",Negative
Dimoxystrobin,Negative
Dimoxystrobin,No data
Diniconazole-M,No data
Diniconazole-M,No data
Dinocap,No data
Dinocap,No data
Di-n-octyltin,Negative
Dinophysistoxin 1,No data
"Dinophysistoxin 1, acylated derivatives",No data
Dinophysistoxin 2,No data
"Dinophysistoxin 2, acylated derivatives",No data
Dioctadecyl disulphide,Negative
Dioctyl adipate,Not determined
Dipentyl sulfide,Not determined
Dipentyl sulfide,Not determined
Dipentyl sulfide,Not determined
Dipentyl sulfide,Not determined
Dipentyl sulfide,Not determined
Dipentyl sulfide,Not determined
Diphenyl ether,Negative
Diphenyl ether,Negative
Diphenyl ether,Negative
Diphenylamine,Negative
Diphenylamine,Negative
Diphenylamine formulation (NoScald DPA 31 EC (ATO BAFBC03)),No data
Diphenylamine formulation (NoScald DPA 31 EC (ATO BAFBC03)),No data
Diphenylmethane,Not determined
Diphenylmethane,Not determined
Diphenylmethane,Not determined
Dipotassium tartrate (E 336(ii)),Negative
Dipropyl disulfide,No data
Dipropyl disulfide,No data
Dipropyl trisulfide,No data
Dipropyl trisulfide,Not determined
Dipropyl trisulfide,Not determined
Dipropyl trisulfide,Not determined
Dipropyl trisulfide,Not determined
Diquat,No data
Diquat,Negative
Diquat,No data
Diquat dibromide,Negative
Diquat formulation (Diquat 20% SL),No data
Disodium 5'-guanylate,Ambiguous
Disodium 5'-guanylate produced with Corynebacterium stationis KCCM 10530 and Escherichia coli K-12 KFCC 11067,No data
Disodium 5'-inosinate,Ambiguous
Disodium 5'-inosinate produced by Corynebacterium stationis KCCM 80161,No data
Disodium 5'-inosinate produced by Corynebacterium stationis KCCM 80235,No data
Disodium 5'-ribonucleotides,Ambiguous
"Disodium EDTA, tannin-rich extract of Castanea sativa, thyme and oregano oil preparation",No data
Disodium phosphonate,Negative
Disodium phosphonate,No data
Disodium phosphonate,No data
Disodium phosphonate,No data
Disodium phosphonate,No data
Disodium phosphonate formulation (Mildicut),No data
Disodium pyrophosphate,No data
Distilled fraction of expressed lemon oil,Not applicable
Distilled orange oil from Citrus sinensis (L.) Osbeck,Negative
Disulfoton,No data
Dithianon,Not determined
Dithianon,No data
Diuron,Negative
DL-Alanine,Negative
DL-Borneol,Not determined
DL-Borneol,Not determined
DL-Borneol,Ambiguous
DL-Borneol,Not determined
DL-Bornyl acetate,Not determined
DL-Bornyl acetate,Not determined
DL-Bornyl acetate,Not determined
DL-Bornyl acetate,Not determined
DL-Bornyl butyrate,Not determined
DL-Bornyl butyrate,Negative
DL-Bornyl butyrate,Not determined
DL-Bornyl butyrate,Not determined
DL-Bornyl formate,Not determined
DL-Bornyl formate,Not determined
DL-Bornyl formate,Not determined
DL-Bornyl isovalerate,Not determined
DL-Bornyl isovalerate,Not determined
DL-Bornyl isovalerate,Not determined
DL-Bornyl valerate,Not determined
DL-Bornyl valerate,Negative
DL-Bornyl valerate,Not determined
DL-Bornyl valerate,Not determined
d-Limonene,Negative
d-Limonene,Negative
d-Limonene,Negative
d-Limonene,No data
d-Limonene,Negative
d-Limonene,Not determined
DL-Isoborneol,Not determined
DL-Isoborneol,Not determined
DL-Isoborneol,Not determined
DL-Isoborneol,Not determined
DL-Isobornyl acetate,Not determined
DL-Isobornyl acetate,Not determined
DL-Isobornyl acetate,Not determined
DL-Isobornyl acetate,Not determined
DL-Isobornyl formate,Not determined
DL-Isobornyl formate,Not determined
DL-Isobornyl formate,Not determined
DL-Isobornyl isobutyrate,Not determined
DL-Isobornyl isobutyrate,Not determined
DL-Isobornyl isovalerate,Not determined
DL-Isobornyl isovalerate,Not determined
DL-Isobornyl isovalerate,Not determined
DL-Isobornyl propionate,Not determined
DL-Isobornyl propionate,Not determined
DL-Isobornyl propionate,Ambiguous
DL-Methionine sodium salt,No data
DL-Methionine technically pure protected with copolymer vinylpyridine/styrene,No data
DL-Methionine technically pure protected with ethylcellulose,No data
DL-methionyl-DL-methionine,No data
DL-Phenylalanine,Negative
DL-Valine,Negative
DMP+PMP EC 320,No data
DNSH,No data
Docosahexaenoic acid,No data
Dodec-1-ene,Not determined
Dodec-1-ene,Not determined
Dodec-1-ene,Not determined
Dodec-2(trans)-enal,Ambiguous
Dodec-2(trans)-enal,Negative
Dodec-2(trans)-enal,Negative
Dodec-2(trans)-enal,No data
"Dodec-2-eno-1,5-lactone",Not determined
"Dodeca-(3Z,6Z)-dienal",Negative
"Dodeca-(3Z,6Z)-dienal",Negative
"Dodeca-(3Z,6Z)-dienal",Negative
"Dodeca-(3Z,6Z)-dienal",Negative
"Dodeca-2,4-dienal",Ambiguous
"Dodeca-2,4-dienal",Ambiguous
"Dodeca-2,4-dienal",Negative
"Dodeca-2,4-dienal",Negative
"Dodeca-2,6-dienal",Ambiguous
"Dodeca-2,6-dienal",Negative
"Dodeca-2,6-dienal",Negative
Dodecan-2-ol,Negative
Dodecan-2-ol,Negative
Dodecan-2-ol,Negative
Dodecan-2-ol,Negative
Dodecan-2-ol,Negative
Dodecan-2-ol,Negative
Dodecan-2-one,Negative
Dodecan-2-one,Negative
Dodecan-2-one,Negative
Dodecan-2-one,Negative
Dodecan-2-one,Negative
Dodecan-2-one,Negative
Dodecanal,Negative
Dodecane,Not determined
Dodecane,Not determined
Dodecane,Not determined
Dodecane,Not determined
"Dodecano-1,4-lactone",No data
"Dodecano-1,5-lactone",No data
"Dodecanoic acid, 12-amino-, polymer with ethene, 2,5-furandione, alpha-hydro-omega-hydroxypoly (oxy-1,2-ethanediyl) and propene",Negative
Dodecyl gallate,Negative
Dodecyldimethylamine,Negative
Dodecyldimethylamine,Negative
Dodecyldimethylamine oxide,Negative
Dodemorph acetate,Negative
Dodine,Negative
Dodine,No data
Dodine,No data
Domoic acid,Ambiguous
Domoic acid C5'-diastereomer,No data
D-Panthenol,No data
D-Panthenol,No data
Dried aerial parts of Echinacea purpurea (L.) Moench,No data
Dried aerial parts of Hoodia parviflora,Negative
Dried extract from dried roots of Echinacea angustifolia DC.,No data
Dried flowers of Clitoria ternatea L.,No data
Dried whole cell Euglena gracilis,Negative
Dried yellow mealworm (Tenebrio molitor larva),Negative
Dry grape extract,No data
Dry grape extract,No data
Dry grape extract 60-20,No data
D-tagatose,No data
"E,Z-2,6-dimethyloct-6-en-3-one",Negative
"E,Z-2,6-dimethyloct-6-en-3-one",Negative
"E,Z-2,6-dimethyloct-6-en-3-one",Negative
"E,Z-2,6-dimethyloct-6-en-3-one",Negative
"E,Z-2,6-dimethyloct-6-en-3-one",Negative
"E,Z-2,6-dimethyloct-6-en-3-one",Negative
E-4-Undecenal,Negative
E-4-Undecenal,Negative
E-5-Decen-1-ol,Negative
E-5-Decen-1-yl Acetate,Negative
E-5-Decen-1-yl acetate and E-5-Decen-1-ol mixture,Negative
Echinacea angustifolia root extract (Anxiofit-1),No data
Ecklonia cava phlorotannins,Negative
Egg membrane hydrolysate,Negative
Emamectin,Negative
Emamectin,No data
"Endo-1,3(4)-beta-glucanase produced by a genetically modified Trichoderma reesei",Negative
"Endo-1,3(4)-beta-glucanase, endo-1,4-beta-xylanase and alpha-amylase preparation (Amylofeed)",Other
"Endo-1,4-beta-D-mannanase preparation (Hemicell)",No data
"Endo-1,4-beta-D-mannanase produced by a genetically modified strain of Paenibacillus lentus",Negative
"Endo-1,4-beta-xylanase and endo-1,3(4)-beta-glucanase preparation (ROVABIO SPIKY)",No data
"Endo-1,4-beta-xylanase and Endo-1,3(4)-beta-glucanase preparation AveMix XG 10",No data
"Endo-1,4-beta-xylanase and Endo-1,3(4)-beta-glucanase preparation AveMix XG 10",No data
"Endo-1,4-beta-xylanase and Endo-1,4-beta-glucanase formulation (Natugrain TS)",No data
"Endo-1,4-beta-xylanase preparation (Natugrain Wheat TS)",No data
Endogenous N-nitroso compounds (ENOCs),Not applicable
Endosulfan,Ambiguous
Endosulfan,No data
Endosulfan,No data
Endrin,Negative
"Enniatins (including Enniatin A, A1, B, B1)",Ambiguous
Enova oil,Negative
Enzymatically hydrolysed carboxy methyl cellulose,Negative
Ephedra herb,No data
Ephedrine sulphate,Negative
Epichlorohydrin,No data
Epichlorohydrin,Positive
Epigallocatechin-3-gallate,No data
Epoxiconazole,Negative
Epoxiconazole,No data
Epoxiconazole,No data
Epoxidised soybean oil,Negative
Epoxidised soybean oil,No data
Epoxidised soybean oil,Negative
Epoxidised soybean oil derivatives,No data
Epoxidised vegetable oil,Negative
Epoxy oxophorone,Ambiguous
Epoxy Phenolic Novolac Resins,Negative
Ergot alkaloids,Not applicable
Ergot alkaloids,Not applicable
Erucic acid,Not determined
Erythorbic acid,Negative
Erythritol,No data
Erythritol,No data
Erythritol,No data
Erythrosine,Negative
Erythrosine,Not determined
Esfenvalerate,Negative
Esfenvalerate 5 EC,No data
Essential oil from Cinnamomum camphora (L.) J. Presl (camphor white oil),Not applicable
Essential oil from Elettaria cardamomum (L.) Maton,Other
Essential oil from Origanum vulgare subsp. hirtum (Link) letsw.,Negative
Essential oil from Origanum vulgare subsp. hirtum (Link) letsw.,No data
Essential oil from Origanum vulgare subsp. hirtum (Link) letsw. var. Vulkan,Negative
Essential oil from Origanum vulgare subsp. hirtum (Link) letsw. var. Vulkan,No data
Essential oil from the flowers of Cananga odorata (Lam.) Hook.f. and Thomson (ylang ylang oil),Not applicable
Essential oil from the leaves of Agathosma betulina (P.J. Bergius) Pillans,Not applicable
"Essential oil from thyme and star anise, crushed dried spices and crushed dried herbs (BIOSTRONG 510)",No data
Estragole,Positive
Ethametsulfuron methyl,Negative
Ethametsulfuron methyl,Negative
Ethametsulfuron methyl metabolite (IN-A8768),Negative
Ethametsulfuron methyl metabolite (IN-A8768),Negative
Ethametsulfuron methyl metabolite (IN-A9795),No data
Ethametsulfuron methyl metabolite (IN-B9161),Negative
Ethametsulfuron methyl metabolite (IN-B9161),Negative
Ethametsulfuron methyl metabolite (IN-D5119),Negative
Ethametsulfuron methyl metabolite (IN-D5119),Negative
Ethametsulfuron methyl metabolite (IN-D5803),Negative
Ethametsulfuron methyl metabolite (IN-D5803),Negative
Ethametsulfuron methyl metabolite (IN-D7556),Negative
Ethametsulfuron methyl metabolite (IN-D7556),Negative
Ethametsulfuron methyl metabolite (IN-N7468),Negative
Ethametsulfuron methyl metabolite (IN-N7468),Negative
Ethametsulfuron methyl metabolite (IN-N7469),Negative
Ethametsulfuron methyl metabolite (IN-N7469),Negative
Ethametsulfuron methyl metabolite (IN-R4A92),No data
Ethametsulfuron methyl metabolite (IN-R7558),Ambiguous
Ethametsulfuron methyl metabolite (IN-R7558),Negative
Ethametsulfuron methyl metabolite (IN-RXR81),Negative
Ethametsulfuron methyl metabolite (IN-RXR81),Negative
Ethametsulfuron methyl metabolite (IN-RYM15),Negative
Ethametsulfuron methyl metabolite (IN-RYM15),Negative
Ethametsulfuron methyl metabolite (IN-W5521),Negative
Ethametsulfuron methyl metabolite (IN-W5521),Negative
"Ethane-1,1-dithiol",Not determined
"Ethane-1,1-dithiol",Not determined
"Ethane-1,1-dithiol",Negative
"Ethane-1,2-diamine",Negative
Ethanethioic acid,Not determined
Ethanethioic acid,Not determined
Ethanethioic acid,Not determined
Ethanethioic acid,Not determined
Ethanethioic acid,Not determined
Ethanethioic acid,Not determined
Ethanethiol,Not determined
Ethanethiol,Not determined
Ethanethiol,Negative
Ethanol,Not determined
Ethanol,Negative
Ethanol,Not determined
Ethanol group,No data
Ethephon,Negative
Ethirimol,Negative
Ethofumesate,Negative
Ethofumesate 500 SC,No data
Ethoprophos,Negative
Ethoprophos,No data
Ethoprophos formulation,No data
Ethoprophos formulation,No data
Ethoxyquin,Negative
Ethoxyquin,No data
Ethoxyquin,Negative
Ethoxyquin,Negative
Ethyl (3-hydroxyphenyl)carbamate,No data
Ethyl (3Z)-hexenoate,Negative
Ethyl (3Z)-hexenoate,Negative
Ethyl (3Z)-hexenoate,Negative
Ethyl (3Z)-hexenoate,Negative
"Ethyl (E,E)-hexa-2,4-dienoic acid",Not determined
"Ethyl (E,E)-hexa-2,4-dienoic acid",Negative
"Ethyl (E,Z)-deca-2,4-dienoate",Not determined
"Ethyl (E,Z)-deca-2,4-dienoate",Not determined
"Ethyl (E,Z)-deca-2,4-dienoate",Negative
Ethyl (p-tolyloxy)acetate,Not determined
Ethyl (p-tolyloxy)acetate,Not determined
"Ethyl 2,3-epoxy-3-methyl-3-p-tolylpropionate",Not determined
"Ethyl 2,3-epoxy-3-methyl-3-p-tolylpropionate",Ambiguous
"Ethyl 2,4-dimethyl-1,3-dioxolane-2-acetate",Not determined
Ethyl 2-acetoxypropionate,Negative
Ethyl 2-acetoxypropionate,Negative
Ethyl 2-acetoxypropionate,Not determined
Ethyl 2-acetoxypropionate,Not determined
Ethyl 2-acetyl-3-phenylpropionate,Not determined
Ethyl 2-acetyl-3-phenylpropionate,Negative
Ethyl 2-acetylbutyrate,Negative
Ethyl 2-acetylbutyrate,Negative
Ethyl 2-acetylbutyrate,Not determined
Ethyl 2-acetylbutyrate,Not determined
Ethyl 2-ethyl-3-phenylpropionate,Not determined
Ethyl 2-furoate,Negative
Ethyl 2-furoate,Negative
Ethyl 2-furoate,Negative
Ethyl 2-hydroxy-4-methylbenzoate,Negative
Ethyl 2-hydroxy-4-methylbenzoate,Negative
Ethyl 2-hydroxy-4-methylbenzoate,Negative
Ethyl 2-hydroxy-4-methylbenzoate,Negative
Ethyl 2-hydroxy-4-methylbenzoate,Negative
Ethyl 2-methoxybenzoate,Negative
Ethyl 2-methoxybenzoate,Negative
Ethyl 2-methoxybenzoate,Negative
Ethyl 2-methoxybenzoate,Negative
Ethyl 2-methoxybenzoate,Negative
Ethyl 2-methylbutyrate,No data
Ethyl 2-methylbutyrate,Negative
Ethyl 2-methylcrotonate,Not determined
"Ethyl 2-methylpenta-3,4-dienoate",Not determined
Ethyl 2-nonynoate,Not determined
Ethyl 2-nonynoate,Negative
Ethyl 2-nonynoate,Negative
Ethyl 2-phenylpropionate,Not determined
Ethyl 2-phenylpropionate,Not determined
Ethyl 3-(2-furfurylthio)propionate,Not determined
Ethyl 3-(2-furfurylthio)propionate,Not determined
Ethyl 3-(2-furfurylthio)propionate,Not determined
Ethyl 3-(2-furyl)propionate,Not determined
Ethyl 3-(2-furyl)propionate,Not determined
Ethyl 3-(2-furyl)propionate,Negative
"Ethyl 3,7-dimethyl-2,6-octadienoate",Negative
"Ethyl 3,7-dimethyl-2,6-octadienoate",Negative
"Ethyl 3,7-dimethyl-2,6-octadienoate",Negative
"Ethyl 3,7-dimethyl-2,6-octadienoate",Negative
"Ethyl 3,7-dimethyl-2,6-octadienoate",Negative
Ethyl 3-acetohexanoate,Negative
Ethyl 3-acetohexanoate,Negative
Ethyl 3-acetohexanoate,Not determined
Ethyl 3-acetohexanoate,Not determined
Ethyl 3-acetoxy octanoate,Negative
Ethyl 3-acetoxy octanoate,Negative
Ethyl 3-acetoxy octanoate,Not determined
Ethyl 3-acetoxy octanoate,Not determined
Ethyl 3-acetoxy-2-methylbutyrate,Not determined
Ethyl 3-hydroxyoctanoate,Negative
Ethyl 3-hydroxyoctanoate,Not determined
Ethyl 3-hydroxyoctanoate,Not determined
Ethyl 3-mercaptobutyrate,Not determined
Ethyl 3-mercaptobutyrate,Not determined
Ethyl 3-mercaptobutyrate,Not determined
Ethyl 3-mercaptobutyrate,Not determined
Ethyl 3-mercaptobutyrate,Not determined
Ethyl 3-methylcrotonate,Not determined
Ethyl 3-methylcrotonate,Not determined
Ethyl 3-methylcrotonate,Not determined
Ethyl 3-methylcrotonate,Negative
"Ethyl 3-phenyl-2,3-epoxypropionate",Not determined
"Ethyl 3-phenyl-2,3-epoxypropionate",Ambiguous
Ethyl 3-phenyl-3-oxopropionate,Not determined
